,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,sulphates,color_white
0,2.5495097567963922,0.5291502622129182,0.34,2.1447610589527217,0.23237900077244503,4.69041575982343,130.0,0.99193,0.6782329983125268,1
1,2.3874672772626644,0.5196152422706632,0.32,1.095445115010332,0.2144761058952721,4.47213595499958,155.0,0.9934,0.6403124237432849,1
2,2.569046515733026,0.8246211251235319,0.0399999999999999,2.7928480087537877,0.2810693864511039,2.449489742783178,12.0,0.9963,0.7071067811865476,0
3,2.8284271247461903,0.7874007874011811,0.35,1.6733200530681511,0.2932575659723035,5.291502622129181,52.0,0.997,0.7874007874011811,0
4,2.7202941017470885,0.3872983346207417,0.42,1.3038404810405295,0.2121320343559642,7.0,154.0,0.992,0.7745966692414834,1
5,2.7018512172212596,0.5099019513592785,0.3,3.049590136395381,0.2236067977499789,5.916079783099617,154.0,0.9958100000000001,0.7071067811865476,1
6,2.16794833886788,0.3807886552931954,0.29,1.0,0.2049390153191919,5.916079783099617,90.0,0.9908,0.7,1
7,2.6457513110645907,0.5656854249492379,0.29,2.7568097504180438,0.1581138830084189,5.916079783099617,124.0,0.9916200000000001,0.8062257748298549,1
8,2.8284271247461903,0.4472135954999579,0.3,2.846049894151541,0.1923538406167134,6.4807406984078595,130.0,0.99379,0.8185352771872451,1
9,3.049590136395381,0.6928203230275509,0.29,1.4491376746189442,0.3324154027718932,2.449489742783178,16.0,0.9968,0.848528137423857,0
10,2.7748873851023217,0.6557438524302001,0.6000000000000001,3.9749213828703582,0.1788854381999831,6.4807406984078595,164.0,0.9974200000000001,0.7071067811865476,1
11,2.569046515733026,0.5656854249492379,0.33,1.5811388300841898,0.2280350850198276,6.324555320336759,210.0,0.99316,0.7745966692414834,1
12,2.6076809620810595,0.5477225575051661,0.26,3.9749213828703582,0.1923538406167134,6.708203932499369,150.0,0.9972700000000001,0.6164414002968976,1
13,2.81069386451104,0.3741657386773941,0.45,1.3416407864998738,0.2236067977499789,4.123105625617661,114.0,0.9948,0.7,1
