,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,sulphates,color
0,2.5495097567963922,0.5291502622129182,0.34,2.1447610589527217,0.23237900077244503,4.69041575982343,130.0,0.99193,0.6782329983125268,white
1,2.3874672772626644,0.5196152422706632,0.32,1.0954451150103321,0.21447610589527216,4.47213595499958,155.0,0.9934,0.6403124237432849,white
2,2.569046515733026,0.824621125123532,0.03999999999999998,2.792848008753788,0.2810693864511039,2.449489742783178,12.0,0.9963,0.7071067811865476,red
3,2.8284271247461903,0.7874007874011811,0.35,1.6733200530681511,0.29325756597230357,5.291502622129181,52.0,0.997,0.7874007874011811,red
4,2.7202941017470885,0.3872983346207417,0.42,1.3038404810405297,0.21213203435596426,7.0,154.0,0.992,0.7745966692414834,white
5,2.701851217221259,0.5099019513592785,0.3,3.0495901363953815,0.22360679774997896,5.916079783099616,154.0,0.9958100000000001,0.7071067811865476,white
6,2.16794833886788,0.3807886552931954,0.29,1.0,0.20493901531919198,5.916079783099616,90.0,0.9908,0.7,white
7,2.6457513110645907,0.565685424949238,0.29,2.756809750418044,0.15811388300841897,5.916079783099616,124.0,0.9916200000000001,0.806225774829855,white
9,2.8284271247461903,0.4472135954999579,0.3,2.8460498941515415,0.19235384061671346,6.48074069840786,130.0,0.99379,0.8185352771872451,white
10,3.0495901363953815,0.6928203230275509,0.29,1.449137674618944,0.33241540277189324,2.449489742783178,16.0,0.9968,0.848528137423857,red
11,2.7748873851023217,0.6557438524302001,0.6000000000000001,3.9749213828703582,0.17888543819998318,6.48074069840786,164.0,0.9974200000000001,0.7071067811865476,white
12,2.569046515733026,0.565685424949238,0.33,1.5811388300841898,0.2280350850198276,6.324555320336759,210.0,0.99316,0.7745966692414834,white
13,2.6076809620810595,0.5477225575051661,0.26,3.9749213828703582,0.19235384061671346,6.708203932499369,150.0,0.9972700000000001,0.6164414002968976,white
14,2.8106938645110393,0.37416573867739417,0.45,1.3416407864998738,0.22360679774997896,4.123105625617661,114.0,0.9948,0.7,white
15,2.8809720581775866,0.5099019513592785,0.42,1.4142135623730951,0.282842712474619,3.3166247903554,27.0,0.9974,0.8944271909999159,red
16,2.449489742783178,0.5291502622129182,0.27,3.9370039370059056,0.18973665961010278,5.5677643628300215,134.0,0.99408,0.6633249580710799,white
17,2.9664793948382653,0.7810249675906654,0.19,2.0,0.3065941943351178,5.477225575051661,69.0,0.99787,0.7071067811865476,red
18,3.1064449134018135,0.6557438524302001,0.44,1.5491933384829668,0.33241540277189324,2.23606797749979,12.0,0.9994,0.7937253933193772,red
19,2.6267851073127395,0.5196152422706632,0.4,3.7416573867739413,0.22360679774997896,8.0,227.0,0.9979,0.7615773105863908,white
20,2.5099800796022267,0.5477225575051661,0.48,2.7202941017470885,0.23021728866442676,5.830951894845301,149.0,0.99472,0.7280109889280518,white
